Origin,Year,Cancelled,Cancelled,Delayed,Delayed,TotalFlights,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,airport,city,lat,long
PHL,2008.0,0.019768663743603355,1969.0,0.423632573213365,42583.0,100499.0,12.941114701441627,8.43225926340263,907.7229289419233,13.024157992702756,2.4692338905807505,18.796114155669937,0.11716971311007286,27.778359372372808,Philadelphia Intl,Philadelphia,39.87195278,-75.24114083
SAN,2008.0,0.013583006503352027,1251.0,0.3959002108004417,37312.0,93775.0,7.8689173648626705,4.6031213418941315,836.5225021125807,10.627046216767296,1.1890690185984383,12.94580168402233,0.1616834815249753,25.29682774045743,San Diego International-Lindbergh ,San Diego,32.73355611,-117.1896567
CVG,2008.0,0.02002425449724446,1853.0,0.3204430863508661,29465.0,91265.0,8.996045264120188,8.799983420652568,602.9732796825202,16.670009152281363,4.59215071090265,21.076399017094825,0.031842171836745224,7.161312109569745,Cincinnati Northern Kentucky Intl,Covington,39.04614278,-84.6621725
MDW,2008.0,0.014525291485308053,1246.0,0.50642890123548,44426.0,87619.0,12.60942039210719,7.396541198882921,836.1230269881102,13.427903981864732,3.788990047056361,10.492149567894398,0.07198169768552097,26.135848834500127,Chicago Midway,Chicago,41.7859825,-87.75242444
DCA,2008.0,0.03148791333842469,2735.0,0.28672984195065426,24882.0,86662.0,6.320717069190955,5.682343131865569,610.7319665135857,11.374060509098149,2.562938580723465,24.209245836845238,0.025608040794949178,17.04497585119073,Ronald Reagan Washington National,Arlington,38.85208333,-77.03772222
MEM,2008.0,0.01862678642051981,1516.0,0.2965573310781304,24163.0,80966.0,7.839362782235867,6.771780399019751,526.8732614880095,19.26692358876293,3.799517773992577,18.08375766674411,0.05965627342723384,13.789734797373422,Memphis International,Memphis,35.04241667,-89.97666667
TPA,2008.0,0.009302212882568316,727.0,0.3645710182387924,28880.0,78179.0,8.817757601242336,6.022564555766944,830.9779510411857,11.636168001363503,2.7955593911012144,17.40655743202644,0.010825153176841303,23.99885379596907,Tampa International ,Tampa,27.97547222,-82.53325
IAD,2008.0,0.026882621407622462,2077.0,0.3841840395104876,29417.0,76031.0,13.518023638697208,12.594616788811885,926.3949185284865,26.553531017887156,2.9010124741130014,17.957117598404263,0.17867871391508441,15.540128160576186,Washington Dulles International,Chantilly,38.94453194,-77.45580972
FLL,2008.0,0.00801249978192608,542.0,0.39217726570081335,26827.0,67177.0,10.751989393546195,9.160648192689075,927.3956492141327,11.168660312568477,1.154227479575841,23.935232925089114,0.09677937270128249,22.676142476589813,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,26.07258333,-80.15275
CLE,2008.0,0.02045588501669771,1359.0,0.3431264399270196,22739.0,65795.0,9.004906420816807,8.123965115027163,613.3164077579975,15.585460004966551,2.589185948335324,22.07640778886336,0.022578736174985806,16.715574592720483,Cleveland-Hopkins Intl,Cleveland,41.41089417,-81.84939667
STL,2008.0,0.021128476601405804,1316.0,0.3866094653714988,24269.0,62733.0,9.804941345187414,7.359274572097841,678.4222726706749,10.573134633762713,2.760393872156703,17.596180077823103,0.04091099369210508,23.922272929233042,Lambert-St Louis International,St Louis,38.74768694,-90.35998972
MIA,2008.0,0.012532246697929782,787.0,0.48152294740976714,30263.0,62559.0,15.786167242855592,14.954284133187059,1030.606491770203,21.970480196302475,3.797667127282121,15.938518295960746,0.058776554414688535,16.20779752420999,Miami International,Miami,25.79325,-80.29055556
OAK,2008.0,0.015352663308873972,965.0,0.464985020684515,29189.0,62535.0,7.547274308414397,2.648704051512267,678.3538196576059,13.077311310965401,1.0527931238824084,5.890356627561285,0.15871238110198418,24.12174296521727,Metropolitan Oakland International,Oakland,37.72129083,-122.22071670000001
RDU,2008.0,0.020689058228708052,1253.0,0.340749509676264,20564.0,60179.0,9.746934341528949,8.079945144637902,553.8622487638432,12.671980089001687,2.4796030462527883,23.939357833623387,0.013321440620072207,19.661175722086806,Raleigh-Durham International,Raleigh,35.87763889,-78.78747222
MCI,2008.0,0.013749307835533046,841.0,0.3891392461431739,23308.0,59370.0,8.951694182725394,6.455346855869649,672.2206710645113,11.910953405168435,2.545761044507049,15.514754773994737,0.03208713345462496,24.827079017833032,Kansas City International,Kansas City,39.29760528,-94.71390556
PDX,2008.0,0.011658256279025747,652.0,0.3674265545504907,21343.0,57860.0,6.918766919022231,3.403024950908204,940.4087715881209,16.671513267738245,1.3661321751940179,11.796254100681422,0.057164014473734315,21.74736424006879,Portland Intl,Portland,45.58872222,-122.5975
BNA,2008.0,0.01377559866402321,791.0,0.4069602167604504,23452.0,57539.0,10.150636471372753,7.6107822373133205,657.1640964537511,11.41782460687478,1.8273907384587347,16.391695877100293,0.02409112590697664,24.96359195892309,Nashville International,Nashville,36.12447667,-86.67818222
