Origin,Year,Month,Cancelled,Cancelled,Delayed,Delayed,TotalFlights,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
LFT,2008,4,10.0,0.02564102564102564,101.0,0.258974358974359,390.0,6.323684210526316,7.842105263157895,296.3897435897436,21.845070422535212,6.436619718309859,17.985915492957748,0.18309859154929578,21.04225352112676
LFT,2008,5,7.0,0.01694915254237288,99.0,0.2397094430992736,413.0,6.4926108374384235,6.925925925925926,292.544794188862,13.294871794871796,11.807692307692308,13.923076923076923,0.0,25.44871794871795
LFT,2008,6,15.0,0.03731343283582089,141.0,0.35074626865671643,402.0,11.147286821705427,14.842377260981912,300.69154228855723,5.943396226415095,12.839622641509434,20.452830188679247,0.0,25.29245283018868
LFT,2008,7,3.0,0.007263922518159807,111.0,0.2687651331719128,413.0,7.373170731707317,10.070904645476773,302.0508474576271,16.86904761904762,9.761904761904763,30.0,0.0,15.083333333333334
LFT,2008,8,15.0,0.03631961259079903,104.0,0.25181598062953997,413.0,9.477386934673367,9.906565656565656,300.95641646489105,22.783783783783782,4.27027027027027,28.33783783783784,0.0,25.04054054054054
LFT,2008,9,45.0,0.11688311688311688,46.0,0.11948051948051948,385.0,-2.6705882352941175,-2.0617647058823527,297.2493506493507,11.03448275862069,2.586206896551724,10.448275862068966,0.0,18.96551724137931
LFT,2008,10,3.0,0.007575757575757576,67.0,0.1691919191919192,396.0,2.6615776081424936,4.969465648854962,296.47474747474746,13.631578947368421,0.24561403508771928,34.29824561403509,0.0,19.05263157894737
LFT,2008,11,0.0,0.0,80.0,0.21680216802168023,369.0,2.4715447154471546,1.3396739130434783,303.8780487804878,12.214285714285714,2.375,21.928571428571427,0.21428571428571427,13.107142857142858
LFT,2008,12,21.0,0.05263157894736842,145.0,0.3634085213032581,399.0,15.99736842105263,14.986772486772487,301.812030075188,14.640776699029127,15.854368932038835,16.116504854368934,0.0,24.92233009708738
LGA,2008,1,521.0,0.05058252427184466,2955.0,0.28689320388349515,10300.0,7.166376930156458,5.36539643515673,690.6445631067961,7.542224080267559,2.4364548494983276,20.36747491638796,0.020903010033444816,19.888377926421406
LGA,2008,2,846.0,0.08676923076923077,3523.0,0.36133333333333334,9750.0,15.060085354896676,18.43140346924983,692.128,8.87485311398355,5.100763807285547,20.540834312573445,0.004406580493537015,24.265569917743832
LGA,2008,3,571.0,0.05437577373583468,4105.0,0.3909151509380059,10501.0,17.431822759315207,18.223704152773568,701.6738405866108,9.903269754768392,3.944141689373297,18.273569482288828,0.04632152588555858,29.684196185286105
LGA,2008,4,524.0,0.05101246105919003,3772.0,0.36721183800623053,10272.0,12.86981945014362,14.319358816276202,692.1482671339564,9.200769914124963,3.0198400947586617,16.468167012140952,0.0,24.199881551673084
LGA,2008,5,309.0,0.030043753038405445,3185.0,0.30967428293631505,10285.0,9.554530874097836,9.935849814275675,691.1693728731162,7.456866804692892,3.7104899930986885,18.764665286404416,0.014147688060731538,22.987577639751553
LGA,2008,6,677.0,0.06669950738916257,3990.0,0.3931034482758621,10150.0,18.070621767127626,21.153609668186157,685.4588177339901,11.129486471562673,6.158752070679183,22.849254555494202,0.0,25.845113197128658
LGA,2008,7,569.0,0.05410288104972901,3931.0,0.37377579157554436,10517.0,15.66556091676719,15.087303189341945,686.3557098031758,11.865742199810905,3.8767727702489756,21.539867633154742,0.013867002836432399,27.696186574219983
LGA,2008,8,505.0,0.04881585306911552,3516.0,0.33987433542774287,10345.0,13.486788617886178,13.965359144167092,689.1265345577574,12.087173990710967,6.15827081100393,25.323687031082528,0.016434440871739908,26.57270453733476
