Airport,DepDelay_Mean,DepFlights,Arrivals,ArrivalsDelay_Mean
BUR,34.67213114754098,31405,31403,0.00044581727860395506
BWI,6.4476744186046515,104074,104068,5.765461044701541e-05
CLE,4.0,65795,65792,0.0
CMH,2.4482758620689653,34157,34151,-0.00032209891364820943
CRP,0.0,5270,5269,-0.0020876826722338203
DAL,9.05109489051095,53928,53931,-0.0002781331701618735
DEN,18.875,241443,241470,1.6565204787344185e-05
DTW,3.0,161989,162000,6.172839506172839e-06
ELP,21.205882352941178,20731,20728,0.0016885372443072172
FLL,10.772727272727273,67177,67179,-0.000610309769421992
GEG,26.0,15560,15552,0.0029578189300411522
HOU,6.510204081632653,55933,55934,0.00035756427217792396
HRL,2.0833333333333335,4421,4421,-0.0013571590137977834
ROC,9.0,14264,14253,0.000912088683084263
DAY,-7.0,15791,15785,6.335128286347799e-05
ORD,71.0,350380,350452,0.0
EWR,-6.0,138506,138491,0.0003465929193954842
SYR,57.0,12032,12036,0.015785975407111998
IAH,0.0,185172,185160,0.0005346727154893065
LFT,-3.0,4879,4879,-0.0020496003279360524
MKE,-7.0,42700,42687,0.0006325110689437065
CHS,-8.0,14181,14179,7.052683546089287e-05
LCH,-10.0,1000,999,-0.002002002002002002
CLT,-10.0,126045,126030,-5.5542331190986275e-05
BTR,-4.0,8941,8939,0.00022373867322966775
CRW,6.0,3414,3413,0.012891883973044242
FAT,-6.258064516129032,14278,14277,-0.00035021363031449183
COS,4.548387096774194,16201,16197,0.0006173982836327715
MRY,1.8387096774193548,7607,7603,0.002104432460870709
LGB,7.2272727272727275,15443,15449,-0.00038837465208104083
BFL,-1.7,4502,4499,0.006223605245610136
EUG,6.28,5749,5752,0.0012169680111265646
ICT,1.8709677419354838,14050,14046,-0.0002847785846504343
MEM,11.0,80966,80961,2.4703252183149912e-05
LGA,-10.0,119135,119117,-0.00012592660997170848
DCA,-7.0,86662,86671,-0.0002538334621730452
BTV,50.0,7005,7006,-0.0007136739937196689
GRK,-7.0,3733,3729,-0.003218020917135961
BRO,5.0,1464,1465,0.006825938566552901
TYS,-5.0,14004,13999,-0.0006429030645046075
DSM,-6.0,16643,16639,-0.0003004988280545706
BPT,2.0,276,275,-0.05454545454545454
GPT,-3.0,8541,8538,-0.0008198641368001874
GRR,0.0,16616,16620,0.0015643802647412755
PWM,6.0,6897,6891,0.004643738209258453
MSP,4.0,130289,130320,0.00020718232044198895
RIC,-10.0,19977,19966,-0.0005509365922067514
CVG,-4.0,91265,91345,-0.00024084514751765285
SAV,-6.0,13774,13774,-0.000363002758820967
SRQ,12.0,6432,6429,0.012132524498366775
GSO,-4.0,13558,13549,-0.000738061849582995
CHA,-3.0,4571,4567,-0.003065469673746442
XNA,-6.0,14112,14112,-0.00042517006802721087
GSP,-6.0,11856,11851,-0.000843810648890389
LEX,-4.0,10344,10338,-0.0014509576320371445
MFE,-6.0,4116,4113,0.002188183807439825
